Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,Intent,Reference_Action,Justification,Reviewer_1_Label,Reviewer_2_Label
NY-CMP-28562,Social Media,Premium Shoppers,5,Instagram,25481,715,323,21,141,709.39,-0.80,English,4.5,College Students,2024-11-15,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Reduce
NY-CMP-53625,Paid Ads,Tier 2 City Customers,26,"Instagram, Facebook",75428,10051,3430,2257,1627297,92.14,6.83,English,20.86,Tier 2 City Customers,2024-10-26,Growth,Increase,Based on ROI of 6.83 and Conversion rate of 22.46%.,Increase,Increase
NY-CMP-44156,Paid Ads,Tier 2 City Customers,22,"Facebook, YouTube, Instagram",51353,5237,2868,1453,385045,98.41,1.69,English,18.61,Youth,2024-11-04,Retention,Maintain,Based on ROI of 1.69 and Conversion rate of 27.74%.,Maintain,Maintain
NY-CMP-35662,Social Media,College Students,19,"Email, Google, WhatsApp",52350,3341,1603,647,371378,413.38,0.39,Tamil,10.68,College Students,2024-12-04,Survival,Reduce,Based on ROI of 0.39 and Conversion rate of 19.37%.,Reduce,Increase
NY-CMP-3630,SEO,Premium Shoppers,27,"Google, Facebook, Instagram",38193,5176,2263,155,100,73.88,-0.80,Tamil,22.13,Youth,2024-09-22,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Increase,Maintain
NY-CMP-10398,Email,Working Women,26,WhatsApp,55373,2845,1659,1160,504600,75.42,4.77,Bengali,10.23,Youth,2024-09-01,Growth,Increase,Based on ROI of 4.77 and Conversion rate of 40.77%.,Increase,Increase
NY-CMP-7478,Paid Ads,Working Women,9,Instagram,60307,2327,521,414,312984,141.62,4.34,English,5.41,Tier 2 City Customers,2024-11-10,Growth,Maintain,Based on ROI of 4.34 and Conversion rate of 17.79%.,Maintain,Maintain
NY-CMP-25975,Influencer,Youth,22,Email,32809,3900,2159,1206,366624,188.52,0.61,Bengali,22.14,Premium Shoppers,2025-04-29,Survival,Reduce,Based on ROI of 0.61 and Conversion rate of 30.92%.,Investigate,Maintain
NY-CMP-48091,Influencer,Tier 2 City Customers,15,"Email, Facebook, Instagram",60672,8761,4018,262,100,63.86,-0.80,Hindi,25.68,Working Women,2025-05-07,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Reduce
NY-CMP-32020,Social Media,Youth,22,"WhatsApp, Facebook, Email",81695,2269,600,388,79540,654.37,-0.69,Tamil,3.99,Youth,2025-06-01,Survival,Reduce,Based on ROI of -0.69 and Conversion rate of 17.10%.,Reduce,Investigate
NY-CMP-47915,Influencer,Premium Shoppers,26,"YouTube, Email",97054,3486,801,306,144432,716.93,-0.34,Tamil,4.73,Premium Shoppers,2025-01-07,Survival,Reduce,Based on ROI of -0.34 and Conversion rate of 8.78%.,Reduce,Increase
NY-CMP-30239,Email,Youth,26,"YouTube, Email, WhatsApp",28710,4184,1958,864,291168,190.34,0.77,Hindi,24.4,Premium Shoppers,2024-10-20,Survival,Reduce,Based on ROI of 0.77 and Conversion rate of 20.65%.,Reduce,Reduce
NY-CMP-23103,Influencer,Tier 2 City Customers,22,WhatsApp,73000,8815,3814,264,100,205.74,-0.80,Hindi,18.88,Premium Shoppers,2024-11-28,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Investigate
NY-CMP-1936,Social Media,Tier 2 City Customers,13,"WhatsApp, Email, Instagram",19944,2122,747,479,131246,196.96,0.39,English,16.79,Youth,2025-01-20,Survival,Reduce,Based on ROI of 0.39 and Conversion rate of 22.57%.,Reduce,Reduce
NY-CMP-13761,SEO,College Students,11,Instagram,77765,11011,4708,3711,1176387,64.89,3.89,Tamil,24.99,Tier 2 City Customers,2025-04-03,Growth,Maintain,Based on ROI of 3.89 and Conversion rate of 33.70%.,Maintain,Maintain
NY-CMP-3528,Influencer,Premium Shoppers,19,WhatsApp,92060,5262,2721,870,394980,208.55,1.18,Hindi,9.62,Tier 2 City Customers,2025-02-19,Retention,Maintain,Based on ROI of 1.18 and Conversion rate of 16.53%.,Maintain,Increase
NY-CMP-15449,SEO,Premium Shoppers,28,"Facebook, YouTube, WhatsApp",68055,4460,2168,133,100,303.34,-0.80,Hindi,10.71,Premium Shoppers,2024-09-15,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Maintain,Maintain
NY-CMP-56167,SEO,Tier 2 City Customers,18,"Google, Facebook",23874,2968,857,603,429336,190.15,2.74,Hindi,18.55,Tier 2 City Customers,2024-12-18,Retention,Maintain,Based on ROI of 2.74 and Conversion rate of 20.32%.,Maintain,Maintain
NY-CMP-45359,Paid Ads,Premium Shoppers,19,"Facebook, Email",17447,456,246,97,40255,834.71,-0.5,Tamil,4.58,Premium Shoppers,2025-01-17,Survival,Reduce,Based on ROI of -0.50 and Conversion rate of 21.27%.,Reduce,Reduce
NY-CMP-55231,Paid Ads,Tier 2 City Customers,7,YouTube,83614,3544,1118,392,90552,686.52,-0.66,Tamil,6.04,College Students,2025-05-27,Survival,Reduce,Based on ROI of -0.66 and Conversion rate of 11.06%.,Reduce,Reduce
NY-CMP-29665,Social Media,Tier 2 City Customers,10,"Instagram, YouTube",55002,4133,1080,123,141,705.94,-0.80,Hindi,10.13,Tier 2 City Customers,2024-09-10,Growth,Increase,Conflict stress case: growth intent with poor ROI and low conversion rate.,Reduce,Reduce
NY-CMP-4173,Paid Ads,Working Women,18,"YouTube, Google",57558,5792,1841,977,387869,78.82,4.04,Bengali,14.96,Working Women,2024-09-28,Growth,Maintain,Based on ROI of 4.04 and Conversion rate of 16.87%.,Maintain,Maintain
NY-CMP-44546,Email,Working Women,19,"YouTube, Google, WhatsApp",32596,2313,687,476,225148,593.35,-0.2,English,10.66,Tier 2 City Customers,2024-12-27,Survival,Reduce,Based on ROI of -0.20 and Conversion rate of 20.58%.,Reduce,Increase
